,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
鷹栖町,0.489030132,0.692357783,0.748804599,0.510987427,0.583227198,0.671686658,0.419898151,0.520728145,0.716264055,0.397240037,0.555648132,0.481601928,0.651901367,0.452466793,0.356708668,0.698505173,0.24988758
東神楽町,0.456756329,0.726941929,0.739434163,0.504642819,0.569637039,0.693651281,0.418420771,0.453135834,0.740185223,0.401415608,0.560840941,0.440302027,0.64985652,0.46222605,0.429025579,0.654205643,0.495320063
当麻町,0.387326655,0.731592845,0.741437508,0.501159876,0.633631592,0.674343032,0.376966689,0.498495167,0.681616332,0.419162977,0.553592805,0.50982619,0.655361656,0.454633554,0.604393485,0.710707343,0.530654182
比布町,0.506687541,0.702219369,0.730331357,0.54454618,0.56465975,0.697613796,0.429447261,0.491067157,0.692682794,0.373733144,0.554526226,0.476001897,0.654861193,0.462976349,0.393340571,0.665889874,0.530940175
愛別町,0.527825174,0.759045716,0.721971135,0.520521657,0.616605547,0.709447879,0.269508933,0.458330642,0.693703698,0.400729693,0.555234496,0.458121681,0.650800803,0.467178506,0.413376561,0.727607878,0.5316231
上川町,0.461234292,0.727069401,0.728173991,0.519116581,0.395494894,0.696422539,0.333573599,0.566774533,0.675938812,0.433192772,0.554508509,0.457638541,0.64394987,0.457722058,0.471784095,0.72588277,0.497881621
東川町,0.301670597,0.71164673,0.696642815,0.497814764,0.666116174,0.662296702,0.411395279,0.452370601,0.606852896,0.473594075,0.554094372,0.509464135,0.66061119,0.456577444,0.634044359,0.72175762,0.430036869
美瑛町,0.392598946,0.751340195,0.73536179,0.515791246,0.532832383,0.700269437,0.454291439,0.452225273,0.582786622,0.424255979,0.555628735,0.46773421,0.645934868,0.467449439,0.557736608,0.744447122,0.461944481
上富良野町,0.434962578,0.749371075,0.738871531,0.511815471,0.495319665,0.704125556,0.362885838,0.379430002,0.655303236,0.512839852,0.554692851,0.4165111,0.645621925,0.466847255,0.551253533,0.707673492,0.571937596
中富良野町,0.478597572,0.699724396,0.731074129,0.522167135,0.630681477,0.686703428,0.376461446,0.545193268,0.763905084,0.401624882,0.554755078,0.451850358,0.656847517,0.461371736,0.451242227,0.721615605,0.572509398
南富良野町,0.454952179,0.661273531,0.694514938,0.509580147,0.178515369,0.668669974,0.392158597,0.458296544,0.699932231,0.481737122,0.557760637,0.468604141,0.648825527,0.454414834,0.655269005,0.773387689,0.619279734
占冠村,0.449326561,0.673859016,0.690831147,0.526217169,0.327246291,0.698019805,0.38439248,0.52567884,0.674042146,0.447403308,0.555524515,0.471104994,0.653962054,0.440262083,0.547165034,0.631502578,0.492247138
和寒町,0.509602922,0.636549332,0.711557589,0.545243045,0.651389863,0.710138572,0.443772121,0.526651455,0.622367225,0.403764563,0.553750172,0.470712895,0.656880201,0.454956215,0.403928629,0.750440746,0.502260687
剣淵町,0.41436702,0.690746569,0.698874863,0.52546556,0.64411916,0.674100648,0.42385654,0.532220399,0.582008563,0.398045054,0.555679322,0.469602359,0.657948152,0.555689136,0.354435642,0.724349123,0.494679024
下川町,0.41652629,0.726416898,0.694891491,0.546378187,0.617717346,0.678857407,0.434893923,0.444724054,0.593092406,0.447663647,0.556400215,0.434837031,0.66806906,0.45484303,0.514181315,0.721709953,0.440535943
美深町,0.446568603,0.70211068,0.735296486,0.530056936,0.342018218,0.713933234,0.400780976,0.496099683,0.673117476,0.419708819,0.555310248,0.457755801,0.648998809,0.46028237,0.508518493,0.73863269,0.845374815
音威子府村,0.280576795,0.672431557,0.759075567,0.479395386,0.12535981,0.64397475,0.355118533,0.530912076,0.649613527,0.511082651,0.555314902,0.459126906,0.665193464,0.364052439,0.638920188,0.804513717,0.573186814
中川町,0.502599415,0.666418589,0.704569595,0.558340832,0.674411863,0.671761005,0.423296245,0.527970985,0.582332118,0.401587688,0.55577591,0.478514847,0.63935859,0.467194369,0.527021085,0.749414771,0.455762694
幌加内町,0.416334076,0.601751209,0.774210492,0.54578611,0.536552135,0.653272928,0.394957859,0.498797489,0.640733803,0.509337028,0.598934003,0.471554997,0.661269704,0.448689016,0.590318217,0.676503563,0.583127917
増毛町,0.466490615,0.687281036,0.767172667,0.544216965,0.540163412,0.68714061,0.400388072,0.404653464,0.672291416,0.394764283,0.558365821,0.515417656,0.655238738,0.451048123,0.46047609,0.682253385,0.577790057
小平町,0.426714764,0.6012822,0.668994354,0.537834382,0.714755977,0.762327326,0.394421036,0.498423574,0.539530967,0.424867787,0.559722376,0.470490039,0.651484235,0.460320894,0.494270665,0.776386558,0.530808312
苫前町,0.422933169,0.708045654,0.722463195,0.535305798,0.611683121,0.677891222,0.392272885,0.489107799,0.541534397,0.447631287,0.559612884,0.4276669,0.651413782,0.46102461,0.701757919,0.80436265,0.441386863
羽幌町,0.446667398,0.680400065,0.685670536,0.53568722,0.742100071,0.692955094,0.397316705,0.480728243,0.631872101,0.422708172,0.553076211,0.458166533,0.649338733,0.462251842,0.498680644,0.702418989,0.62027648
初山別村,0.384255507,0.667189954,0.662335094,0.569595318,0.714759543,0.633410202,0.381425508,0.483706506,0.825820592,0.473006014,0.560118207,0.413353926,0.658198437,0.466832109,0.461432983,0.742807058,0.496318758
遠別町,0.496714537,0.68576676,0.739024058,0.571745007,0.638231039,0.738677914,0.383065504,0.527203961,0.772754436,0.448308046,0.554252291,0.425252045,0.656126234,0.465287857,0.454483859,0.756274698,0.585054337
天塩町,0.45047484,0.673280654,0.710139595,0.543715032,0.57476239,0.73444982,0.377412236,0.47584712,0.544501917,0.455607367,0.554580005,0.432063374,0.656202561,0.456037468,0.389731908,0.746442164,0.531784442
猿払村,0.537469904,0.74547269,0.653642162,0.575700155,0.318216203,0.651983344,0.394751801,0.405141063,0.700022923,0.477424923,0.55205807,0.522098115,0.657611008,0.466526925,0.310773973,0.716880403,0.42658615
浜頓別町,0.528993883,0.634907848,0.674177195,0.546798435,0.640297593,0.853184512,0.432295006,0.52676785,0.656785773,0.458409882,0.558083312,0.481350733,0.654691696,0.466937267,0.291979051,0.747540313,0.402880034
中頓別町,0.506045746,0.695359226,0.672131593,0.577105964,0.666674581,0.734002099,0.443654618,0.541283626,0.576702986,0.393638675,0.559389547,0.51022363,0.657555132,0.43447514,0.408405837,0.750136767,0.902734865
枝幸町,0.467932759,0.712544404,0.674319518,0.556647275,0.570217837,0.758945403,0.430914644,0.495980219,0.792329034,0.39666413,0.554997509,0.483834565,0.655200224,0.45868482,0.441191215,0.742072622,0.537179701
豊富町,0.46794976,0.669687512,0.69774611,0.53599924,0.293158851,0.699995654,0.37887162,0.501601787,0.588265198,0.411884473,0.553776969,0.458505996,0.648458853,0.529117743,0.410720326,0.626294597,0.427595564
礼文町,0.320219639,0.69512633,0.714653835,0.57040361,0.269020248,0.668314419,0.434183503,0.579240501,0.450005966,0.453151375,0.557677669,0.555514305,0.672872712,0.425859586,0.625726183,0.776935252,0.495717185
利尻町,0.421306595,0.842069939,0.717397039,0.540593321,0.245452163,0.728979422,0.375164161,0.579262797,0.606245233,0.511360921,0.559825002,0.437390524,0.645409248,0.426519121,0.444583254,0.78949696,0.577413267
利尻富士町,0.426712948,0.694408448,0.720271929,0.571536426,0.622733589,0.698430827,0.399404166,0.49945163,0.539485687,0.432401472,0.554102486,0.428363023,0.652811159,0.371024286,0.566242388,0.782920608,0.896459469
幌延町,0.458115446,0.675811241,0.687779793,0.450341565,0.235839598,0.682600119,0.423824797,0.505280801,0.629328864,0.456765734,0.55574477,0.514549898,0.658176449,0.445512161,0.569494977,0.594992275,0.531956484
美幌町,0.453376529,0.682399685,0.774062767,0.491390825,0.469702012,0.683975369,0.471521939,0.456638859,0.58598856,0.371650544,0.556540094,0.470173501,0.645897025,0.457770512,0.462680828,0.670178863,0.889615436
津別町,0.464507318,0.694572695,0.706340087,0.512964124,0.626703904,0.689167214,0.376947852,0.521742603,0.783384289,0.448367573,0.557912425,0.524532234,0.656951015,0.462643221,0.5340495,0.70334609,0.486668068
斜里町,0.454735856,0.668909454,0.68555253,0.533675043,0.494523475,0.753623064,0.413971031,0.456400511,0.561949168,0.467468369,0.555995337,0.521474454,0.643651934,0.467033354,0.435943624,0.660713651,0.429146057
清里町,0.49589802,0.702361684,0.689468327,0.52506026,0.532054291,0.647744209,0.44714068,0.577639537,0.685128578,0.401354906,0.551472863,0.605368461,0.653736724,0.45635537,0.443327158,0.632129744,0.896421367
小清水町,0.361616077,0.758063355,0.742362425,0.544465111,0.698471876,0.678497216,0.393122078,0.448551154,0.712356786,0.472169196,0.555866842,0.419522985,0.654343193,0.467159306,0.652098159,0.660473499,0.534257112
訓子府町,0.436553024,0.70742457,0.704926845,0.501572426,0.575432836,0.649283359,0.377612546,0.535348478,0.750283867,0.419981933,0.554568393,0.494502535,0.657405589,0.450928325,0.599385684,0.6554909,0.230799096
置戸町,0.441314611,0.690215658,0.702146724,0.536309448,0.686302452,0.68200903,0.387938142,0.523174588,0.746404813,0.404540293,0.554085048,0.473170102,0.656309685,0.459198058,0.426044908,0.7122045,0.488822318
佐呂間町,0.462261997,0.750230192,0.650250252,0.547229103,0.629201757,0.696980478,0.413959634,0.455483906,0.842260036,0.423623969,0.554084738,0.553297315,0.650594396,0.476263163,0.492801246,0.726448115,0.394519381
